Colonne 1,Parameter,Feature,Evaluation,Range of Evaluation,Description,Prompt,New Prompt
1,Minimizing Distractions,Composition,Score,"Refined, Busy",Minimize distractions to highlight the main subject.,"Give a continuous score for this one between 0 and 100:
Value of 0: the image is very refined;
Value of 100: the image is very busy.
Score type: continuous score between 0 and 100.","This parameter measures the degree of visual distraction caused by secondary elements in the image. It assesses the extent to which these elements disrupt the clear perception of the main subject by analyzing visual density, clarity of hierarchy, and the risk of perceptual competition. This evaluation does not consider the overall aesthetics of the scene but solely the impact of these elements on the subject's legibility.

Scoring examples:
- 0: The image is very clean; the subject is isolated, with no visible competing elements around it.

- 50: The image contains some perceptible secondary elements, but their presence does not hinder the reading of the main subject.

- 100: The image is visually cluttered; numerous elements compete with the subject, making its perception difficult or ambiguous."
2,Subtle Complexity,Composition,Boolean,Does the image have fine details that may not be immediately obvious but add to the complexity of the image?,Fine details that may not be immediately evident but add to the image's complexity.,"Does the image have fine details that may not be immediately obvious but add to the complexity of the image? Elements in the image which have an importance in the story, e.g. a character which we cannot distinguish at first glance but which would be important.
Score type: Boolean (True/False).","This parameter identifies the presence of subtle visual or narrative details, often barely noticeable at first glance, but which enrich the interpretation of the image once discovered. This could be a character in the background, a secondary gesture, a reflection, or a visual clue that gains significance later. This criterion does not concern overall visual density, but rather an image's ability to reveal meaningful elements after a delay.

Examples:
– True: A secondary silhouette in a mirror, a subtle symbol integrated into the background, a narrative detail revealed after careful observation.

– False: An immediately legible image where all elements are apparent and predictable, or details that, while numerous, add nothing to the understanding or narrative of the image."
3,Frame in a frame,Composition,Boolean,Does the image use elements in the scene to frame the subject?,Use elements in the scene to frame the subject.,"Does the image use elements in the scene to frame the subject?
Score type: Boolean.","This parameter detects the use of scene elements explicitly serving to visually frame the subject in a compositional manner. These can be openings (doors, windows), objects (branches, arches), or areas of light that create a framing structure within the image. This type of framing must be clearly discernible in the image's visual construction, and not simply due to the presence of elements near the subject without a formal function.

Examples:
– True: A subject photographed through an arch, a window, or framed by two walls, creating a clear boundary.

– False: The subject is surrounded by elements in the scene, but these do not form a perceptible or structuring visual frame."
4,Leading Space,Composition,Boolean,Does the image leave space in the direction of the subject'sgaze or movement?,Leave space in the direction of the subject's gaze or movement.,"Is the photograph effectively utilizing leading space by providing ample room in the direction of the subject's gaze or movement, maintaining visual balance, and adding narrative context to the image? Examine the image to ensure that the additional space enhances anticipation for the subject's actions, complements the composition's balance, and suggests a storyline beyond the frame.
Score type: Boolean.","This parameter assesses whether the image reserves open space in the direction of a subject's gaze or movement, thereby enhancing readability, visual balance, and compositional dynamism. This type of space allows the viewer to anticipate an action or extend the narrative beyond the frame, directing their gaze toward a significant area. It is not simply an empty space, but rather a space used intentionally as an extension of a narrative or directional axis.

Examples:
– True: A runner photographed with space in front of them, suggesting a race in progress; a portrait where the subject's gaze extends into an evocative void.

– False: The subject looks at or moves toward the edge of the image without reserved space; the empty space is present but without any perceptible connection to a narrative direction or intention."
5,Leading Lines,Composition,Boolean,Does the image use natural or artificial lines to direct the eye towards the subject?,Use natural or artificial lines to direct the eye towards the subject.,"Determine whether the image uses natural or artificial lines to direct the eyes towards the subject?
Score type: Boolean.","This parameter identifies the explicit use of natural lines (paths, shadows, branches, etc.) or artificial lines (walls, roads, structures, etc.) to guide the viewer's eye toward the main subject. These lines must be perceived as active visual vectors, creating a clear direction or convergence toward a point of interest. It is not enough for lines to simply be present in the image; they must play a structuring compositional role.

Examples:
– True: A road, a bridge, or a row of trees leading directly to the subject, creating a perspective or convergence effect.

– False: Lines present in the scene but not pointing toward the subject or contributing to the structuring of the viewer's perception."
6,Pattern Recognition,Composition,Boolean,Does the image seek to use repeating patterns or symmetrical arrangements?,Seek and use repetitive patterns or symmetrical arrangements.,"Does the image showcase a deliberate and orderly arrangement of elements which creates a visual rhythm through geometric repetition or symmetrical balance?
Score type: Boolean.","This parameter detects the intentional use of repetitive patterns, regular alignments, or symmetrical arrangements in image composition. These visual forms create a perceptual rhythm or a sense of order, often through the repetition of similar elements (objects, textures, silhouettes) or through balanced geometric organization. It is not simply a resemblance between elements, but a structured visual arrangement perceived as such by the viewer.

Examples:
– True: A series of aligned windows, characters forming a symmetrical line, or a sequence of identical objects placed at regular intervals.

– False: A scene containing similar objects but arranged irregularly or without any perceptible structure."
7,Composition Contrast,Composition,Score,"['Low', 'High']","Use differences in color, light, or texture to emphasize the subject.","Define here the importance of differences in color, light, or texture to emphasize the subject.
Value of 0: low compositional contrast;
At 100: high compositional contrast.
Score type: continuous score between 0 and 100.","This parameter measures the intensity with which the image uses differences in color, light, or texture to highlight the main subject. High compositional contrast creates a sharp visual separation between the subject and its surroundings, while low contrast conveys a smoother continuity or blending of elements. The goal is not to judge the image's quality, but rather to assess how well these contrasts contribute to the visual organization and hierarchy of the scene.

Examples of ratings:
- 0: The subject blends into the background, with little difference in light, color, or texture.
- 50: The contrast is moderate: the subject stands out but remains integrated into the overall scene.
- 100: The subject is strongly emphasized by a marked contrast in light, tone, or texture compared to its surroundings."
8,Depth of Field,Composition,Score,"['Sharp', 'Shallow']",Control the sharpness of the background to isolate the subject or show the environment.,"It controls the sharpness of the background to isolate the subject or show the environment.
Set the depth of field value here:
Value of 0: the image is completely sharp;
At 100: the image has a very shallow depth of field.
Score type: continuous score between 0 and 100.","This parameter measures the extent of the area of ​​sharpness in the image, in order to assess the depth of field used. A shallow depth of field corresponds to a very small area of ​​sharpness (usually around the main subject), with a blurred background; a large depth of field corresponds to sharpness extending across the entire scene. This measurement does not judge the intention or style, but rather how sharpness is distributed between the planes of the image.

Examples of ratings:
- 0: The entire scene is sharp, from the foreground to the background (landscape, architectural photography, etc.).
- 50: The subject is sharp, and the background begins to blur slightly, without being completely blurred.
- 100: The subject is isolated against a completely blurred background, with no sharp details in the environment."
9,Perspective Shift,Composition,Score,"Low angle, Steeply dipped",Change the perspective or angle to reveal unique aspects of the subject.,"It means changing the perspective or angle to reveal unique aspects of the subject. 
Set the perspective angle on a continuous scale from 0 to 100:
Value of 0: the image is in a strong low tilt;
At 50: Neutral; Image is neither taken from a low or a high angle.
At 100: the image is steeply dipped.
Score type: continuous score between 0 and 100.","This parameter measures the vertical orientation of the shooting perspective, on a scale ranging from an extreme low angle to a radical high angle. A low angle means the image is taken from a very low point, oriented upwards; a high angle refers to a high point, oriented downwards. A mid-range score corresponds to a neutral shot, taken at eye level. The score therefore reflects the direction and intensity of the vertical angle adopted by the photographer.

Examples of scoring:
- 0: Very pronounced low angle — the subject is seen from below, with a strong upward effect.

- 50: Neutral perspective — the subject is captured at eye level, without any perceptible tilt.

- 100: Radical high angle — the subject is seen from above, with a strong downward or downward effect."
10,Negative Space,Composition,Boolean,Does the image use empty space to highlight the subject?,Use empty space to highlight the subject and create a balanced composition.,"Does the image utilize empty areas surrounding the main subject to enhance its prominence?
Score type: Boolean.","This parameter identifies the deliberate use of empty or sparsely populated areas around the main subject to enhance its visibility, create visual tension, or structure the composition. Negative space is perceived as an active element of the image, highlighting the subject through contrast or isolation, without containing secondary narrative or visual information. This criterion is not limited to the mere presence of empty space, but also encompasses its intentional use as a graphic or narrative counterpoint.

Examples:
– True: A subject positioned against a vast, plain background, a silhouette against an empty sky, or a figure isolated amidst a minimal setting.

– False: An image with few elements where empty space does not structure the composition; or an empty background with no strong perceptual connection to the subject.

"
